pop_size,ensemble_size,mean_ms_sim_mean
2048,1,14592
2048,2,9150
2048,4,7598
2048,5,7266
2048,6,6764
2048,10,6089
2048,12,5992
2048,15,5783
2048,20,5649
2048,30,5486
2048,60,5333
4096,1,16240
4096,2,11011
4096,4,9186
4096,5,8839
4096,6,8422
4096,10,7668
4096,12,7526
4096,15,7374
4096,20,7180
4096,30,7026
4096,60,6859
6144,1,18431
6144,2,13326
6144,4,11292
6144,5,11100
6144,6,10704
6144,10,9980
6144,12,9682
6144,15,9574
6144,20,9369
6144,30,9174
6144,60,9080
8192,1,20520
8192,2,15585
8192,4,13128
8192,5,13064
8192,6,12648
8192,10,11785
8192,12,11564
8192,15,11316
8192,20,11238
8192,30,11115
8192,60,10871
