pop_size,ensemble_size,mean_ms_sim_mean
2048,1,27773
2048,2,23386
2048,4,20570
2048,5,20278
2048,6,19989
2048,10,19232
2048,12,18926
2048,15,18729
2048,20,18545
2048,30,18413
2048,60,18164
4096,1,45586
4096,2,40748
4096,4,36632
4096,5,36824
4096,6,36555
4096,10,35475
4096,12,34871
4096,15,34857
4096,20,34442
4096,30,34561
4096,60,34239
6144,1,63307
6144,2,57947
6144,4,52653
6144,5,52929
6144,6,52816
6144,10,51909
6144,12,50988
6144,15,50540
6144,20,50492
6144,30,50576
6144,60,50312
8192,1,80707
8192,2,75163
8192,4,68424
8192,5,69067
8192,6,69355
8192,10,68046
8192,12,66704
8192,15,66579
8192,20,66461
8192,30,66517
8192,60,66180
