pop_size,ensemble_size,mean_ms_sim_mean
128,1,11976
128,2,7602
128,4,5970
128,5,5358
128,6,4996
128,10,4428
128,12,4350
128,15,4095
128,20,3987
128,30,3845
128,60,3736
256,1,12118
256,2,7829
256,4,6010
256,5,5470
256,6,5030
256,10,4531
256,12,4365
256,15,4207
256,20,4074
256,30,3919
256,60,3780
384,1,12478
384,2,8182
384,4,6231
384,5,5723
384,6,5333
384,10,4722
384,12,4675
384,15,4385
384,20,4282
384,30,4135
384,60,3974
512,1,12801
512,2,7936
512,4,6306
512,5,5740
512,6,5313
512,10,4766
512,12,4697
512,15,4386
512,20,4304
512,30,4175
512,60,4012
640,1,12767
640,2,8243
640,4,6537
640,5,6116
640,6,5669
640,10,5032
640,12,4976
640,15,4774
640,20,4652
640,30,4437
640,60,4346
768,1,13331
768,2,8494
768,4,6860
768,5,6257
768,6,5828
768,10,5216
768,12,5184
768,15,4923
768,20,4838
768,30,4669
768,60,4485
896,1,13539
896,2,8659
896,4,6965
896,5,6421
896,6,5954
896,10,5448
896,12,5328
896,15,5145
896,20,5027
896,30,4772
896,60,4685
1024,1,13620
1024,2,8685
1024,4,6992
1024,5,6454
1024,6,6065
1024,10,5398
1024,12,5333
1024,15,5153
1024,20,5022
1024,30,4814
1024,60,4668
