pop_size,ensemble_size,mean_ms_sim_mean
128,1,14180
128,2,7290
128,4,5305
128,5,4794
128,6,4400
128,10,3820
128,12,3679
128,15,3462
128,20,3348
128,30,3165
128,60,3027
256,1,11891
256,2,8326
256,4,6071
256,5,5628
256,6,5307
256,10,4691
256,12,4532
256,15,4283
256,20,4208
256,30,4032
256,60,3882
384,1,13452
384,2,9201
384,4,6948
384,5,6525
384,6,6208
384,10,5603
384,12,5428
384,15,5197
384,20,5022
384,30,4899
384,60,4696
512,1,14261
512,2,10154
512,4,7795
512,5,7415
512,6,6935
512,10,6314
512,12,6171
512,15,5968
512,20,5849
512,30,5705
512,60,5526
640,1,15995
640,2,10766
640,4,9500
640,5,9093
640,6,8500
640,10,7945
640,12,7883
640,15,7612
640,20,7506
640,30,7361
640,60,7253
768,1,17165
768,2,11735
768,4,10522
768,5,10228
768,6,9573
768,10,8933
768,12,8949
768,15,8739
768,20,8608
768,30,8419
768,60,8259
896,1,18167
896,2,13207
896,4,11520
896,5,11197
896,6,10642
896,10,9972
896,12,9928
896,15,9676
896,20,9607
896,30,9426
896,60,9275
1024,1,19112
1024,2,14600
1024,4,12496
1024,5,12130
1024,6,11832
1024,10,11102
1024,12,10905
1024,15,10714
1024,20,10556
1024,30,10399
1024,60,10197
