repetition, pop_size, ensemble_size, ms_sim_mean
0,2048,1,14592
0,2048,2,9150
0,2048,4,7598
0,2048,5,7266
0,2048,6,6764
0,2048,10,6089
0,2048,12,5992
0,2048,15,5783
0,2048,20,5649
0,2048,30,5486
0,2048,60,5333
0,4096,1,16240
0,4096,2,11011
0,4096,4,9186
0,4096,5,8839
0,4096,6,8422
0,4096,10,7668
0,4096,12,7526
0,4096,15,7374
0,4096,20,7180
0,4096,30,7026
0,4096,60,6859
0,6144,1,18431
0,6144,2,13326
0,6144,4,11292
0,6144,5,11100
0,6144,6,10704
0,6144,10,9980
0,6144,12,9682
0,6144,15,9574
0,6144,20,9369
0,6144,30,9174
0,6144,60,9080
0,8192,1,20520
0,8192,2,15585
0,8192,4,13128
0,8192,5,13064
0,8192,6,12648
0,8192,10,11785
0,8192,12,11564
0,8192,15,11316
0,8192,20,11238
0,8192,30,11115
0,8192,60,10871
