repetition, pop_size, ensemble_size, ms_sim_mean
0,2048,1,27773
0,2048,2,23386
0,2048,4,20570
0,2048,5,20278
0,2048,6,19989
0,2048,10,19232
0,2048,12,18926
0,2048,15,18729
0,2048,20,18545
0,2048,30,18413
0,2048,60,18164
0,4096,1,45586
0,4096,2,40748
0,4096,4,36632
0,4096,5,36824
0,4096,6,36555
0,4096,10,35475
0,4096,12,34871
0,4096,15,34857
0,4096,20,34442
0,4096,30,34561
0,4096,60,34239
0,6144,1,63307
0,6144,2,57947
0,6144,4,52653
0,6144,5,52929
0,6144,6,52816
0,6144,10,51909
0,6144,12,50988
0,6144,15,50540
0,6144,20,50492
0,6144,30,50576
0,6144,60,50312
0,8192,1,80707
0,8192,2,75163
0,8192,4,68424
0,8192,5,69067
0,8192,6,69355
0,8192,10,68046
0,8192,12,66704
0,8192,15,66579
0,8192,20,66461
0,8192,30,66517
0,8192,60,66180
