repetition, pop_size, ensemble_size, ms_sim_mean
0,128,1,11976
0,128,2,7602
0,128,4,5970
0,128,5,5358
0,128,6,4996
0,128,10,4428
0,128,12,4350
0,128,15,4095
0,128,20,3987
0,128,30,3845
0,128,60,3736
0,256,1,12118
0,256,2,7829
0,256,4,6010
0,256,5,5470
0,256,6,5030
0,256,10,4531
0,256,12,4365
0,256,15,4207
0,256,20,4074
0,256,30,3919
0,256,60,3780
0,384,1,12478
0,384,2,8182
0,384,4,6231
0,384,5,5723
0,384,6,5333
0,384,10,4722
0,384,12,4675
0,384,15,4385
0,384,20,4282
0,384,30,4135
0,384,60,3974
0,512,1,12801
0,512,2,7936
0,512,4,6306
0,512,5,5740
0,512,6,5313
0,512,10,4766
0,512,12,4697
0,512,15,4386
0,512,20,4304
0,512,30,4175
0,512,60,4012
0,640,1,12767
0,640,2,8243
0,640,4,6537
0,640,5,6116
0,640,6,5669
0,640,10,5032
0,640,12,4976
0,640,15,4774
0,640,20,4652
0,640,30,4437
0,640,60,4346
0,768,1,13331
0,768,2,8494
0,768,4,6860
0,768,5,6257
0,768,6,5828
0,768,10,5216
0,768,12,5184
0,768,15,4923
0,768,20,4838
0,768,30,4669
0,768,60,4485
0,896,1,13539
0,896,2,8659
0,896,4,6965
0,896,5,6421
0,896,6,5954
0,896,10,5448
0,896,12,5328
0,896,15,5145
0,896,20,5027
0,896,30,4772
0,896,60,4685
0,1024,1,13620
0,1024,2,8685
0,1024,4,6992
0,1024,5,6454
0,1024,6,6065
0,1024,10,5398
0,1024,12,5333
0,1024,15,5153
0,1024,20,5022
0,1024,30,4814
0,1024,60,4668
