repetition, pop_size, ensemble_size, ms_sim_mean
0,128,1,14180
0,128,2,7290
0,128,4,5305
0,128,5,4794
0,128,6,4400
0,128,10,3820
0,128,12,3679
0,128,15,3462
0,128,20,3348
0,128,30,3165
0,128,60,3027
0,256,1,11891
0,256,2,8326
0,256,4,6071
0,256,5,5628
0,256,6,5307
0,256,10,4691
0,256,12,4532
0,256,15,4283
0,256,20,4208
0,256,30,4032
0,256,60,3882
0,384,1,13452
0,384,2,9201
0,384,4,6948
0,384,5,6525
0,384,6,6208
0,384,10,5603
0,384,12,5428
0,384,15,5197
0,384,20,5022
0,384,30,4899
0,384,60,4696
0,512,1,14261
0,512,2,10154
0,512,4,7795
0,512,5,7415
0,512,6,6935
0,512,10,6314
0,512,12,6171
0,512,15,5968
0,512,20,5849
0,512,30,5705
0,512,60,5526
0,640,1,15995
0,640,2,10766
0,640,4,9500
0,640,5,9093
0,640,6,8500
0,640,10,7945
0,640,12,7883
0,640,15,7612
0,640,20,7506
0,640,30,7361
0,640,60,7253
0,768,1,17165
0,768,2,11735
0,768,4,10522
0,768,5,10228
0,768,6,9573
0,768,10,8933
0,768,12,8949
0,768,15,8739
0,768,20,8608
0,768,30,8419
0,768,60,8259
0,896,1,18167
0,896,2,13207
0,896,4,11520
0,896,5,11197
0,896,6,10642
0,896,10,9972
0,896,12,9928
0,896,15,9676
0,896,20,9607
0,896,30,9426
0,896,60,9275
0,1024,1,19112
0,1024,2,14600
0,1024,4,12496
0,1024,5,12130
0,1024,6,11832
0,1024,10,11102
0,1024,12,10905
0,1024,15,10714
0,1024,20,10556
0,1024,30,10399
0,1024,60,10197
