repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,6.26
0,2048,2,4.262
0,2048,3,3.421
0,2048,4,2.977
0,2048,5,2.599
0,2048,6,2.668
0,2048,8,2.88
0,2048,9,2.885
0,2048,10,3.076
0,2048,11,2.926
0,2048,12,2.929
0,2048,15,3.179
0,2048,20,2.998
0,4096,1,7.62
0,4096,2,4.766
0,4096,3,3.746
0,4096,4,3.33
0,4096,5,3.119
0,4096,6,2.975
0,4096,8,3.063
0,4096,9,2.984
0,4096,10,2.912
0,4096,11,3.203
0,4096,12,3.302
0,4096,15,2.925
0,4096,20,3.072
0,6144,1,9.501
0,6144,2,5.732
0,6144,3,4.616
0,6144,4,3.94
0,6144,5,3.557
0,6144,6,3.269
0,6144,8,3.623
0,6144,9,3.133
0,6144,10,3.486
0,6144,11,3.285
0,6144,12,3.31
0,6144,15,3.345
0,6144,20,3.474
0,8192,1,10.914
0,8192,2,6.678
0,8192,3,5.222
0,8192,4,4.317
0,8192,5,3.886
0,8192,6,3.61
0,8192,8,3.975
0,8192,9,3.385
0,8192,10,3.509
0,8192,11,3.633
0,8192,12,3.764
0,8192,15,3.533
0,8192,20,3.582
1,2048,1,6.319
1,2048,2,4.253
1,2048,3,3.362
1,2048,4,3.154
1,2048,5,2.825
1,2048,6,2.641
1,2048,8,2.829
1,2048,9,3.02
1,2048,10,2.998
1,2048,11,2.798
1,2048,12,2.745
1,2048,15,2.776
1,2048,20,2.985
1,4096,1,7.798
1,4096,2,5.02
1,4096,3,3.909
1,4096,4,3.446
1,4096,5,3.063
1,4096,6,2.828
1,4096,8,3.245
1,4096,9,3.326
1,4096,10,3.305
1,4096,11,3.234
1,4096,12,3.264
1,4096,15,3.061
1,4096,20,3.116
1,6144,1,9.372
1,6144,2,5.85
1,6144,3,4.45
1,6144,4,3.843
1,6144,5,3.452
1,6144,6,3.213
1,6144,8,3.514
1,6144,9,3.383
1,6144,10,3.729
1,6144,11,3.286
1,6144,12,3.725
1,6144,15,3.273
1,6144,20,3.329
1,8192,1,10.817
1,8192,2,6.508
1,8192,3,5.165
1,8192,4,4.256
1,8192,5,3.817
1,8192,6,3.517
1,8192,8,3.875
1,8192,9,3.728
1,8192,10,3.817
1,8192,11,3.693
1,8192,12,3.416
1,8192,15,3.753
1,8192,20,3.603
2,2048,1,6.375
2,2048,2,3.926
2,2048,3,3.386
2,2048,4,3.009
2,2048,5,2.834
2,2048,6,2.768
2,2048,8,2.768
2,2048,9,3.007
2,2048,10,3.089
2,2048,11,3.045
2,2048,12,3.071
2,2048,15,2.81
2,2048,20,2.959
2,4096,1,7.711
2,4096,2,4.804
2,4096,3,3.754
2,4096,4,3.338
2,4096,5,3.053
2,4096,6,2.834
2,4096,8,3.06
2,4096,9,3.18
2,4096,10,3.147
2,4096,11,2.889
2,4096,12,3.403
2,4096,15,3.186
2,4096,20,2.96
2,6144,1,9.577
2,6144,2,5.87
2,6144,3,4.565
2,6144,4,4.019
2,6144,5,3.541
2,6144,6,3.266
2,6144,8,3.518
2,6144,9,3.58
2,6144,10,3.691
2,6144,11,3.297
2,6144,12,3.407
2,6144,15,3.398
2,6144,20,3.571
2,8192,1,11.075
2,8192,2,6.596
2,8192,3,5.048
2,8192,4,4.268
2,8192,5,3.907
2,8192,6,3.606
2,8192,8,3.954
2,8192,9,4.03
2,8192,10,4.145
2,8192,11,3.332
2,8192,12,3.408
2,8192,15,3.956
2,8192,20,3.686
