repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,18.31
0,2048,2,9.808
0,2048,3,6.861
0,2048,4,5.401
0,2048,5,4.682
0,2048,6,3.993
0,2048,8,3.419
0,2048,9,3.223
0,2048,10,3.064
0,2048,11,3.063
0,2048,12,2.826
0,2048,15,3.134
0,2048,20,3.175
0,4096,1,33.872
0,4096,2,17.514
0,4096,3,12.129
0,4096,4,9.452
0,4096,5,7.682
0,4096,6,6.699
0,4096,8,5.586
0,4096,9,5.144
0,4096,10,4.553
0,4096,11,4.606
0,4096,12,4.081
0,4096,15,4.602
0,4096,20,4.582
0,6144,1,49.476
0,6144,2,25.585
0,6144,3,17.398
0,6144,4,13.35
0,6144,5,10.91
0,6144,6,9.311
0,6144,8,7.717
0,6144,9,7.195
0,6144,10,6.55
0,6144,11,6.217
0,6144,12,5.701
0,6144,15,5.939
0,6144,20,6.106
0,8192,1,65.21
0,8192,2,33.293
0,8192,3,22.477
0,8192,4,17.275
0,8192,5,14.167
0,8192,6,11.811
0,8192,8,9.772
0,8192,9,8.762
0,8192,10,8.302
0,8192,11,8.61
0,8192,12,8.308
0,8192,15,8.121
0,8192,20,8.096
1,2048,1,18.261
1,2048,2,9.82
1,2048,3,6.863
1,2048,4,5.408
1,2048,5,4.537
1,2048,6,3.98
1,2048,8,3.403
1,2048,9,3.435
1,2048,10,2.878
1,2048,11,3.322
1,2048,12,2.708
1,2048,15,3.294
1,2048,20,3.205
1,4096,1,33.87
1,4096,2,17.662
1,4096,3,12.079
1,4096,4,9.426
1,4096,5,7.711
1,4096,6,6.623
1,4096,8,5.641
1,4096,9,5.209
1,4096,10,4.646
1,4096,11,4.69
1,4096,12,4.24
1,4096,15,4.822
1,4096,20,4.596
1,6144,1,49.731
1,6144,2,25.651
1,6144,3,17.578
1,6144,4,13.569
1,6144,5,11.177
1,6144,6,9.376
1,6144,8,7.848
1,6144,9,7.037
1,6144,10,6.342
1,6144,11,6.177
1,6144,12,5.561
1,6144,15,6.04
1,6144,20,6.139
1,8192,1,65.328
1,8192,2,33.404
1,8192,3,22.564
1,8192,4,17.28
1,8192,5,13.995
1,8192,6,12.066
1,8192,8,9.917
1,8192,9,8.88
1,8192,10,8.284
1,8192,11,8.546
1,8192,12,7.901
1,8192,15,8.363
1,8192,20,8.144
2,2048,1,18.171
2,2048,2,9.749
2,2048,3,6.815
2,2048,4,5.337
2,2048,5,4.502
2,2048,6,3.902
2,2048,8,3.998
2,2048,9,3.164
2,2048,10,2.949
2,2048,11,2.841
2,2048,12,2.897
2,2048,15,3.228
2,2048,20,3.061
2,4096,1,33.702
2,4096,2,17.465
2,4096,3,12.046
2,4096,4,9.304
2,4096,5,7.67
2,4096,6,6.607
2,4096,8,5.535
2,4096,9,5.15
2,4096,10,4.765
2,4096,11,4.555
2,4096,12,4.518
2,4096,15,4.859
2,4096,20,4.691
2,6144,1,49.425
2,6144,2,25.62
2,6144,3,17.398
2,6144,4,13.322
2,6144,5,10.941
2,6144,6,9.281
2,6144,8,7.709
2,6144,9,6.905
2,6144,10,6.135
2,6144,11,6.144
2,6144,12,5.392
2,6144,15,6.003
2,6144,20,5.95
2,8192,1,65.177
2,8192,2,33.487
2,8192,3,22.544
2,8192,4,17.244
2,8192,5,14.012
2,8192,6,11.894
2,8192,8,10.201
2,8192,9,8.734
2,8192,10,8.029
2,8192,11,8.531
2,8192,12,8.061
2,8192,15,8.308
2,8192,20,8.286
