repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,4.126
0,128,2,3.106
0,128,3,2.43
0,128,4,2.574
0,128,5,2.495
0,128,6,2.124
0,128,8,2.478
0,128,9,2.512
0,128,10,2.548
0,128,11,2.586
0,128,12,2.511
0,128,15,2.581
0,128,20,2.567
0,256,1,4.241
0,256,2,3.022
0,256,3,2.866
0,256,4,2.302
0,256,5,2.509
0,256,6,2.2
0,256,8,2.564
0,256,9,2.544
0,256,10,2.585
0,256,11,2.578
0,256,12,2.618
0,256,15,2.661
0,256,20,2.622
0,384,1,4.526
0,384,2,3.123
0,384,3,2.567
0,384,4,2.701
0,384,5,2.629
0,384,6,2.35
0,384,8,2.671
0,384,9,2.599
0,384,10,2.739
0,384,11,2.578
0,384,12,2.723
0,384,15,2.68
0,384,20,2.756
0,512,1,4.77
0,512,2,3.53
0,512,3,2.745
0,512,4,2.741
0,512,5,2.571
0,512,6,2.244
0,512,8,2.65
0,512,9,2.655
0,512,10,2.677
0,512,11,2.618
0,512,12,2.51
0,512,15,2.676
0,512,20,2.676
0,640,1,5.066
0,640,2,3.412
0,640,3,3.146
0,640,4,2.738
0,640,5,2.57
0,640,6,2.469
0,640,8,2.63
0,640,9,2.776
0,640,10,2.757
0,640,11,2.714
0,640,12,2.587
0,640,15,2.626
0,640,20,2.695
0,768,1,5.236
0,768,2,3.466
0,768,3,2.752
0,768,4,2.864
0,768,5,2.731
0,768,6,2.571
0,768,8,2.802
0,768,9,2.879
0,768,10,2.946
0,768,11,2.94
0,768,12,2.889
0,768,15,2.856
0,768,20,2.838
0,896,1,5.276
0,896,2,3.307
0,896,3,2.882
0,896,4,2.581
0,896,5,2.563
0,896,6,2.75
0,896,8,2.873
0,896,9,3.064
0,896,10,3.112
0,896,11,3.017
0,896,12,2.992
0,896,15,2.87
0,896,20,2.939
0,1024,1,5.465
0,1024,2,3.55
0,1024,3,3.164
0,1024,4,2.842
0,1024,5,2.703
0,1024,6,2.522
0,1024,8,2.802
0,1024,9,2.707
0,1024,10,2.971
0,1024,11,2.895
0,1024,12,2.958
0,1024,15,2.764
0,1024,20,3.056
1,128,1,4.033
1,128,2,2.984
1,128,3,2.68
1,128,4,2.506
1,128,5,2.488
1,128,6,2.413
1,128,8,2.516
1,128,9,2.425
1,128,10,2.639
1,128,11,2.546
1,128,12,2.809
1,128,15,2.705
1,128,20,2.599
1,256,1,4.119
1,256,2,2.947
1,256,3,2.739
1,256,4,2.523
1,256,5,2.449
1,256,6,2.386
1,256,8,2.494
1,256,9,2.488
1,256,10,2.753
1,256,11,2.579
1,256,12,2.52
1,256,15,2.48
1,256,20,2.552
1,384,1,4.522
1,384,2,3.215
1,384,3,2.594
1,384,4,2.673
1,384,5,2.549
1,384,6,2.474
1,384,8,2.78
1,384,9,2.671
1,384,10,2.565
1,384,11,2.665
1,384,12,2.789
1,384,15,2.725
1,384,20,2.613
1,512,1,4.663
1,512,2,3.195
1,512,3,2.911
1,512,4,3.056
1,512,5,2.561
1,512,6,2.442
1,512,8,2.548
1,512,9,2.642
1,512,10,2.819
1,512,11,2.638
1,512,12,2.709
1,512,15,2.611
1,512,20,2.631
1,640,1,4.883
1,640,2,3.647
1,640,3,2.649
1,640,4,2.782
1,640,5,2.578
1,640,6,2.368
1,640,8,2.702
1,640,9,2.659
1,640,10,2.825
1,640,11,2.64
1,640,12,2.725
1,640,15,2.619
1,640,20,2.977
1,768,1,5.097
1,768,2,3.575
1,768,3,3.209
1,768,4,2.69
1,768,5,2.65
1,768,6,2.373
1,768,8,2.729
1,768,9,2.835
1,768,10,2.997
1,768,11,3.016
1,768,12,2.917
1,768,15,2.842
1,768,20,2.87
1,896,1,5.246
1,896,2,3.482
1,896,3,2.794
1,896,4,2.714
1,896,5,2.649
1,896,6,2.727
1,896,8,2.812
1,896,9,2.994
1,896,10,2.785
1,896,11,2.922
1,896,12,2.8
1,896,15,2.806
1,896,20,2.833
1,1024,1,5.512
1,1024,2,3.608
1,1024,3,3.324
1,1024,4,2.877
1,1024,5,2.774
1,1024,6,2.535
1,1024,8,2.762
1,1024,9,2.8
1,1024,10,2.867
1,1024,11,2.723
1,1024,12,2.763
1,1024,15,2.894
1,1024,20,2.845
2,128,1,4.118
2,128,2,3.049
2,128,3,2.765
2,128,4,2.536
2,128,5,2.273
2,128,6,2.409
2,128,8,2.309
2,128,9,2.358
2,128,10,2.607
2,128,11,2.567
2,128,12,2.535
2,128,15,2.725
2,128,20,2.493
2,256,1,4.161
2,256,2,2.863
2,256,3,2.822
2,256,4,2.383
2,256,5,2.495
2,256,6,2.425
2,256,8,2.516
2,256,9,2.571
2,256,10,2.539
2,256,11,2.758
2,256,12,2.553
2,256,15,2.592
2,256,20,2.536
2,384,1,4.532
2,384,2,3.137
2,384,3,2.912
2,384,4,2.33
2,384,5,2.211
2,384,6,2.445
2,384,8,2.619
2,384,9,2.794
2,384,10,2.636
2,384,11,2.603
2,384,12,2.645
2,384,15,2.651
2,384,20,2.689
2,512,1,4.663
2,512,2,3.159
2,512,3,2.878
2,512,4,2.637
2,512,5,2.417
2,512,6,2.415
2,512,8,2.417
2,512,9,2.595
2,512,10,2.638
2,512,11,2.453
2,512,12,2.642
2,512,15,2.486
2,512,20,2.575
2,640,1,4.925
2,640,2,3.403
2,640,3,3.071
2,640,4,2.778
2,640,5,2.67
2,640,6,2.594
2,640,8,2.735
2,640,9,3.028
2,640,10,2.768
2,640,11,2.72
2,640,12,2.854
2,640,15,2.703
2,640,20,2.718
2,768,1,5.241
2,768,2,3.524
2,768,3,3.157
2,768,4,2.929
2,768,5,2.666
2,768,6,2.553
2,768,8,2.724
2,768,9,2.822
2,768,10,2.923
2,768,11,3.228
2,768,12,2.875
2,768,15,2.847
2,768,20,2.806
2,896,1,5.308
2,896,2,3.744
2,896,3,3.169
2,896,4,2.937
2,896,5,2.852
2,896,6,2.564
2,896,8,2.969
2,896,9,3.05
2,896,10,3.085
2,896,11,2.821
2,896,12,2.987
2,896,15,2.881
2,896,20,2.856
2,1024,1,5.571
2,1024,2,3.838
2,1024,3,3.229
2,1024,4,2.892
2,1024,5,2.699
2,1024,6,2.513
2,1024,8,2.911
2,1024,9,2.851
2,1024,10,2.963
2,1024,11,2.689
2,1024,12,2.799
2,1024,15,2.914
2,1024,20,2.891
