repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,3.24
0,128,2,2.112
0,128,3,1.957
0,128,4,1.625
0,128,5,1.7
0,128,6,1.659
0,128,8,1.547
0,128,9,1.78
0,128,10,1.731
0,128,11,1.753
0,128,12,1.764
0,128,15,1.747
0,128,20,1.78
0,256,1,3.909
0,256,2,2.53
0,256,3,2.184
0,256,4,1.878
0,256,5,1.76
0,256,6,1.788
0,256,8,1.763
0,256,9,1.81
0,256,10,1.834
0,256,11,1.809
0,256,12,1.815
0,256,15,1.812
0,256,20,1.809
0,384,1,4.912
0,384,2,3.107
0,384,3,2.445
0,384,4,2.173
0,384,5,2.017
0,384,6,2.005
0,384,8,1.961
0,384,9,2.007
0,384,10,2.045
0,384,11,2.027
0,384,12,1.875
0,384,15,2.036
0,384,20,2.029
0,512,1,5.912
0,512,2,3.561
0,512,3,2.826
0,512,4,2.317
0,512,5,2.289
0,512,6,1.966
0,512,8,2.164
0,512,9,2.212
0,512,10,2.183
0,512,11,2.023
0,512,12,1.978
0,512,15,2.022
0,512,20,1.973
0,640,1,6.699
0,640,2,3.936
0,640,3,3.169
0,640,4,2.622
0,640,5,2.29
0,640,6,2.24
0,640,8,2.261
0,640,9,2.234
0,640,10,2.056
0,640,11,2.297
0,640,12,2.298
0,640,15,2.057
0,640,20,2.161
0,768,1,8.509
0,768,2,4.843
0,768,3,3.61
0,768,4,3.127
0,768,5,2.568
0,768,6,2.478
0,768,8,2.386
0,768,9,2.187
0,768,10,2.433
0,768,11,2.116
0,768,12,2.512
0,768,15,2.482
0,768,20,2.242
0,896,1,9.277
0,896,2,5.315
0,896,3,3.844
0,896,4,3.162
0,896,5,2.729
0,896,6,2.576
0,896,8,2.6
0,896,9,2.371
0,896,10,2.597
0,896,11,2.385
0,896,12,2.078
0,896,15,2.343
0,896,20,2.422
0,1024,1,10.226
0,1024,2,5.983
0,1024,3,4.182
0,1024,4,3.572
0,1024,5,3.177
0,1024,6,2.851
0,1024,8,2.533
0,1024,9,2.593
0,1024,10,2.186
0,1024,11,2.716
0,1024,12,2.537
0,1024,15,2.6
0,1024,20,2.519
1,128,1,3.159
1,128,2,2.161
1,128,3,1.907
1,128,4,1.939
1,128,5,1.731
1,128,6,1.563
1,128,8,1.872
1,128,9,1.797
1,128,10,1.733
1,128,11,1.767
1,128,12,1.811
1,128,15,1.714
1,128,20,1.792
1,256,1,4.094
1,256,2,2.519
1,256,3,2.112
1,256,4,1.934
1,256,5,1.956
1,256,6,1.909
1,256,8,1.787
1,256,9,1.877
1,256,10,1.747
1,256,11,1.915
1,256,12,1.869
1,256,15,1.836
1,256,20,1.894
1,384,1,5.037
1,384,2,3.103
1,384,3,2.38
1,384,4,2.113
1,384,5,1.945
1,384,6,1.854
1,384,8,2.209
1,384,9,2.078
1,384,10,1.974
1,384,11,2.023
1,384,12,2.002
1,384,15,1.962
1,384,20,2.072
1,512,1,6.01
1,512,2,3.622
1,512,3,2.859
1,512,4,2.419
1,512,5,2.195
1,512,6,2.28
1,512,8,2.187
1,512,9,2.075
1,512,10,2.011
1,512,11,1.954
1,512,12,1.861
1,512,15,2.057
1,512,20,2.007
1,640,1,6.911
1,640,2,4.203
1,640,3,3.037
1,640,4,2.535
1,640,5,2.255
1,640,6,2.051
1,640,8,2.241
1,640,9,2.215
1,640,10,2.312
1,640,11,2.105
1,640,12,1.956
1,640,15,2.333
1,640,20,2.134
1,768,1,8.408
1,768,2,4.911
1,768,3,3.583
1,768,4,3.044
1,768,5,2.6
1,768,6,2.399
1,768,8,2.463
1,768,9,2.54
1,768,10,2.286
1,768,11,2.478
1,768,12,2.139
1,768,15,2.292
1,768,20,2.246
1,896,1,9.307
1,896,2,5.281
1,896,3,4.051
1,896,4,3.237
1,896,5,2.781
1,896,6,2.517
1,896,8,2.494
1,896,9,2.443
1,896,10,2.58
1,896,11,2.104
1,896,12,2.46
1,896,15,2.338
1,896,20,2.35
1,1024,1,10.276
1,1024,2,5.712
1,1024,3,4.21
1,1024,4,3.417
1,1024,5,2.951
1,1024,6,2.689
1,1024,8,2.657
1,1024,9,2.663
1,1024,10,2.521
1,1024,11,2.232
1,1024,12,2.062
1,1024,15,2.473
1,1024,20,2.424
2,128,1,3.113
2,128,2,2.095
2,128,3,1.769
2,128,4,1.652
2,128,5,1.68
2,128,6,1.631
2,128,8,1.694
2,128,9,1.712
2,128,10,2.013
2,128,11,1.759
2,128,12,1.758
2,128,15,1.783
2,128,20,1.73
2,256,1,3.976
2,256,2,2.573
2,256,3,2.144
2,256,4,1.957
2,256,5,1.812
2,256,6,1.733
2,256,8,1.864
2,256,9,1.832
2,256,10,1.785
2,256,11,1.94
2,256,12,2.063
2,256,15,1.804
2,256,20,1.934
2,384,1,4.934
2,384,2,3.065
2,384,3,2.477
2,384,4,2.172
2,384,5,1.982
2,384,6,1.872
2,384,8,1.888
2,384,9,1.832
2,384,10,2.025
2,384,11,2.092
2,384,12,2.293
2,384,15,1.947
2,384,20,2.065
2,512,1,5.988
2,512,2,3.702
2,512,3,2.742
2,512,4,2.357
2,512,5,2.175
2,512,6,2.2
2,512,8,1.989
2,512,9,1.968
2,512,10,2.09
2,512,11,1.984
2,512,12,1.909
2,512,15,2.037
2,512,20,1.983
2,640,1,6.768
2,640,2,3.991
2,640,3,3.044
2,640,4,2.559
2,640,5,2.363
2,640,6,2.287
