repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,6.419
0,2048,2,4.007
0,2048,3,3.407
0,2048,4,3.09
0,2048,5,2.96
0,2048,6,2.785
0,2048,8,2.65
0,2048,9,2.693
0,2048,10,2.542
0,2048,11,2.665
0,2048,12,2.618
0,2048,15,2.605
0,2048,20,2.659
0,4096,1,7.686
0,4096,2,4.606
0,4096,3,3.739
0,4096,4,3.345
0,4096,5,3.034
0,4096,6,3.007
0,4096,8,2.774
0,4096,9,2.794
0,4096,10,2.592
0,4096,11,2.672
0,4096,12,2.718
0,4096,15,2.841
0,4096,20,2.745
0,6144,1,10.044
0,6144,2,5.843
0,6144,3,4.552
0,6144,4,3.871
0,6144,5,3.613
0,6144,6,3.419
0,6144,8,3.259
0,6144,9,3.253
0,6144,10,3.026
0,6144,11,3.258
0,6144,12,3.178
0,6144,15,3.212
0,6144,20,3.204
0,8192,1,11.197
0,8192,2,6.459
0,8192,3,4.962
0,8192,4,4.252
0,8192,5,3.946
0,8192,6,3.604
0,8192,8,3.479
0,8192,9,3.384
0,8192,10,3.204
0,8192,11,3.351
0,8192,12,3.382
0,8192,15,3.368
0,8192,20,3.498
1,2048,1,6.464
1,2048,2,4.034
1,2048,3,3.305
1,2048,4,3.06
1,2048,5,2.84
1,2048,6,2.764
1,2048,8,2.804
1,2048,9,2.686
1,2048,10,2.521
1,2048,11,2.626
1,2048,12,2.605
1,2048,15,2.636
1,2048,20,2.675
1,4096,1,7.657
1,4096,2,4.665
1,4096,3,3.764
1,4096,4,3.279
1,4096,5,3.006
1,4096,6,2.929
1,4096,8,2.847
1,4096,9,2.819
1,4096,10,2.66
1,4096,11,2.744
1,4096,12,2.732
1,4096,15,2.724
1,4096,20,2.766
1,6144,1,9.683
1,6144,2,5.732
1,6144,3,4.445
1,6144,4,3.864
1,6144,5,3.712
1,6144,6,3.42
1,6144,8,3.206
1,6144,9,3.274
1,6144,10,3.074
1,6144,11,3.128
1,6144,12,3.156
1,6144,15,3.197
1,6144,20,3.276
1,8192,1,11.062
1,8192,2,6.284
1,8192,3,4.783
1,8192,4,4.156
1,8192,5,3.932
1,8192,6,3.613
1,8192,8,3.401
1,8192,9,3.314
1,8192,10,3.159
1,8192,11,3.482
1,8192,12,3.363
1,8192,15,3.371
1,8192,20,3.423
2,2048,1,6.311
2,2048,2,4.026
2,2048,3,3.407
2,2048,4,3.04
2,2048,5,2.77
2,2048,6,2.857
2,2048,8,2.819
2,2048,9,2.777
2,2048,10,2.526
2,2048,11,2.696
2,2048,12,2.59
2,2048,15,2.617
2,2048,20,2.758
2,4096,1,7.65
2,4096,2,4.653
2,4096,3,3.736
2,4096,4,3.232
2,4096,5,3.074
2,4096,6,2.824
2,4096,8,2.823
2,4096,9,2.759
2,4096,10,2.604
2,4096,11,2.772
2,4096,12,2.624
2,4096,15,2.733
2,4096,20,2.841
2,6144,1,9.713
2,6144,2,5.682
2,6144,3,4.461
2,6144,4,3.77
2,6144,5,3.531
2,6144,6,3.356
2,6144,8,3.31
2,6144,9,3.231
2,6144,10,3.025
2,6144,11,3.201
2,6144,12,3.119
2,6144,15,3.199
2,6144,20,3.212
2,8192,1,11.165
2,8192,2,6.372
2,8192,3,5
2,8192,4,4.192
2,8192,5,3.895
2,8192,6,3.601
2,8192,8,3.456
2,8192,9,3.293
2,8192,10,3.134
2,8192,11,3.381
2,8192,12,3.304
2,8192,15,3.335
2,8192,20,3.444
