repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,17.013
0,2048,2,8.846
0,2048,3,6.127
0,2048,4,4.845
0,2048,5,4.097
0,2048,6,3.58
0,2048,8,3.047
0,2048,9,2.871
0,2048,10,2.477
0,2048,11,2.731
0,2048,12,2.641
0,2048,15,2.777
0,2048,20,2.768
0,4096,1,31.435
0,4096,2,16.155
0,4096,3,11.013
0,4096,4,8.517
0,4096,5,6.942
0,4096,6,5.962
0,4096,8,5.06
0,4096,9,4.539
0,4096,10,4.07
0,4096,11,4.383
0,4096,12,4.253
0,4096,15,4.298
0,4096,20,4.278
0,6144,1,45.893
0,6144,2,23.572
0,6144,3,15.871
0,6144,4,12.139
0,6144,5,9.91
0,6144,6,8.638
0,6144,8,7.099
0,6144,9,6.397
0,6144,10,5.57
0,6144,11,6.084
0,6144,12,5.879
0,6144,15,5.919
0,6144,20,6.003
0,8192,1,60.487
0,8192,2,30.8
0,8192,3,20.726
0,8192,4,16.22
0,8192,5,13.308
0,8192,6,11.254
0,8192,8,10.311
0,8192,9,9.874
0,8192,10,9.428
0,8192,11,9.749
0,8192,12,9.62
0,8192,15,9.467
0,8192,20,9.47
1,2048,1,17.003
1,2048,2,8.871
1,2048,3,6.138
1,2048,4,4.927
1,2048,5,4.107
1,2048,6,3.608
1,2048,8,3.075
1,2048,9,2.76
1,2048,10,2.46
1,2048,11,2.795
1,2048,12,2.766
1,2048,15,2.751
1,2048,20,2.793
1,4096,1,31.387
1,4096,2,16.071
1,4096,3,11.106
1,4096,4,8.376
1,4096,5,7.044
1,4096,6,5.98
1,4096,8,5.025
1,4096,9,4.62
1,4096,10,4.121
1,4096,11,4.42
1,4096,12,4.247
1,4096,15,4.257
1,4096,20,4.322
1,6144,1,45.897
1,6144,2,23.41
1,6144,3,15.913
1,6144,4,12.127
1,6144,5,9.85
1,6144,6,8.627
1,6144,8,7.188
1,6144,9,6.417
1,6144,10,5.593
1,6144,11,6.05
1,6144,12,5.787
1,6144,15,5.906
1,6144,20,5.925
1,8192,1,60.44
1,8192,2,30.879
1,8192,3,20.922
1,8192,4,16.209
1,8192,5,13.288
1,8192,6,11.258
1,8192,8,10.335
1,8192,9,9.961
1,8192,10,9.344
1,8192,11,9.722
1,8192,12,9.523
1,8192,15,9.56
1,8192,20,9.483
2,2048,1,16.967
2,2048,2,8.839
2,2048,3,6.189
2,2048,4,4.851
2,2048,5,4.086
2,2048,6,3.549
2,2048,8,3.028
2,2048,9,2.789
2,2048,10,2.501
2,2048,11,2.715
2,2048,12,2.665
2,2048,15,2.75
2,2048,20,2.715
2,4096,1,31.463
2,4096,2,16.193
2,4096,3,11.035
2,4096,4,8.501
2,4096,5,7.018
2,4096,6,5.973
2,4096,8,5.118
2,4096,9,4.548
2,4096,10,4.09
2,4096,11,4.336
2,4096,12,4.313
2,4096,15,4.302
2,4096,20,4.252
2,6144,1,45.891
2,6144,2,23.422
2,6144,3,15.85
2,6144,4,12.193
2,6144,5,9.877
2,6144,6,8.569
2,6144,8,7.103
2,6144,9,6.332
2,6144,10,5.626
2,6144,11,6.067
2,6144,12,5.823
2,6144,15,5.872
2,6144,20,5.919
2,8192,1,60.356
2,8192,2,30.751
2,8192,3,20.713
2,8192,4,16.193
2,8192,5,13.274
2,8192,6,11.333
2,8192,8,10.325
2,8192,9,9.809
2,8192,10,9.417
2,8192,11,9.694
2,8192,12,9.494
2,8192,15,9.545
2,8192,20,9.54
