pop_size,ensemble_size,mean_s_sim_mean
2048,1,16.647
2048,2,11.859
2048,4,9.131
2048,5,8.558
2048,6,8.257
2048,10,7.265
2048,12,7.181
2048,15,7.001
2048,20,6.527
2048,30,6.301
2048,60,6.067
4096,1,18.514
4096,2,13.189
4096,4,10.272
4096,5,9.597
4096,6,9.357
4096,10,8.463
4096,12,8.428
4096,15,8.171
4096,20,7.874
4096,30,7.571
4096,60,7.304
6144,1,21.698
6144,2,17.459
6144,4,13.755
6144,5,13.700
6144,6,13.766
6144,10,12.882
6144,12,12.645
6144,15,12.316
6144,20,12.264
6144,30,12.039
6144,60,11.706
8192,1,23.272
8192,2,18.431
8192,4,14.788
8192,5,15.053
8192,6,14.930
8192,10,14.008
8192,12,13.863
8192,15,13.585
8192,20,13.486
8192,30,13.137
8192,60,12.914
