pop_size,ensemble_size,mean_s_sim_mean
2048,1,16.994
2048,2,8.852
2048,3,6.151
2048,4,4.874
2048,5,4.097
2048,6,3.579
2048,8,3.050
2048,9,2.807
2048,10,2.479
2048,11,2.747
2048,12,2.691
2048,15,2.759
2048,20,2.759
4096,1,31.428
4096,2,16.140
4096,3,11.051
4096,4,8.465
4096,5,7.001
4096,6,5.972
4096,8,5.068
4096,9,4.569
4096,10,4.094
4096,11,4.380
4096,12,4.271
4096,15,4.286
4096,20,4.284
6144,1,45.894
6144,2,23.468
6144,3,15.878
6144,4,12.153
6144,5,9.879
6144,6,8.611
6144,8,7.130
6144,9,6.382
6144,10,5.596
6144,11,6.067
6144,12,5.830
6144,15,5.899
6144,20,5.949
8192,1,60.428
8192,2,30.810
8192,3,20.787
8192,4,16.207
8192,5,13.290
8192,6,11.282
8192,8,10.324
8192,9,9.881
8192,10,9.396
8192,11,9.722
8192,12,9.546
8192,15,9.524
8192,20,9.498
