pop_size,ensemble_size,mean_s_sim_mean
128,1,4.313
128,2,3.045
128,3,2.783
128,4,2.691
128,5,2.612
128,6,2.636
128,8,2.572
128,9,2.535
128,10,2.418
128,11,2.464
128,12,2.448
128,15,2.498
128,20,2.513
256,1,4.398
256,2,3.148
256,3,2.838
256,4,2.705
256,5,2.676
256,6,2.691
256,8,2.627
256,9,2.538
256,10,2.481
256,11,2.519
256,12,2.496
256,15,2.500
256,20,2.504
384,1,4.723
384,2,3.277
384,3,2.938
384,4,2.778
384,5,2.660
384,6,2.725
384,8,2.667
384,9,2.612
384,10,2.416
384,11,2.550
384,12,2.468
384,15,2.484
384,20,2.482
512,1,4.862
512,2,3.412
512,3,2.949
512,4,2.789
512,5,2.757
512,6,2.655
512,8,2.672
512,9,2.631
512,10,2.490
512,11,2.531
512,12,2.478
512,15,2.536
512,20,2.556
640,1,5.087
640,2,3.584
640,3,3.074
640,4,2.812
640,5,2.755
640,6,2.709
640,8,2.725
640,9,2.629
640,10,2.499
640,11,2.584
640,12,2.511
640,15,2.519
640,20,2.551
768,1,5.281
768,2,3.639
768,3,3.187
768,4,2.910
768,5,2.797
768,6,2.764
768,8,2.757
768,9,2.725
768,10,2.534
768,11,2.648
768,12,2.614
768,15,2.677
768,20,2.686
896,1,5.433
896,2,3.756
896,3,3.225
896,4,3.038
896,5,2.947
896,6,2.861
896,8,2.935
896,9,2.848
896,10,2.685
896,11,2.860
896,12,2.802
896,15,2.836
896,20,2.870
1024,1,5.648
1024,2,3.758
1024,3,3.210
1024,4,2.967
1024,5,2.792
1024,6,2.777
1024,8,2.735
1024,9,2.698
1024,10,2.508
1024,11,2.606
1024,12,2.580
1024,15,2.593
1024,20,2.621
