pop_size,ensemble_size,mean_s_sim_mean
128,1,12.224
128,2,8.447
128,4,5.819
128,5,5.467
128,6,5.173
128,10,4.240
128,12,4.073
128,15,3.941
128,20,3.600
128,30,3.398
128,60,3.180
256,1,13.756
256,2,9.020
256,4,6.586
256,5,6.191
256,6,5.877
256,10,4.767
256,12,4.660
256,15,4.509
256,20,4.126
256,30,3.911
256,60,3.697
384,1,13.540
384,2,9.741
384,4,7.416
384,5,6.686
384,6,6.392
384,10,5.329
384,12,5.236
384,15,5.072
384,20,4.670
384,30,4.487
384,60,4.261
512,1,14.799
512,2,11.084
512,4,7.957
512,5,7.457
512,6,7.129
512,10,6.040
512,12,5.993
512,15,5.752
512,20,5.378
512,30,5.142
512,60,4.961
640,1,15.121
640,2,11.639
640,4,8.661
640,5,8.366
640,6,7.794
640,10,6.684
640,12,6.655
640,15,6.406
640,20,6.043
640,30,5.783
640,60,5.572
768,1,16.939
768,2,13.113
768,4,10.177
768,5,9.619
768,6,9.150
768,10,7.879
768,12,7.972
768,15,7.755
768,20,7.261
768,30,7.072
768,60,6.860
896,1,17.848
896,2,13.896
896,4,11.065
896,5,10.243
896,6,9.745
896,10,8.577
896,12,8.657
896,15,8.405
896,20,7.956
896,30,7.711
896,60,7.492
1024,1,18.578
1024,2,14.655
1024,4,11.646
1024,5,11.384
1024,6,10.543
1024,10,9.436
1024,12,9.506
1024,15,9.058
1024,20,8.628
1024,30,8.430
1024,60,8.330
