repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,14.009
0,128,2,10.113
0,128,4,8.086
0,128,5,7.637
0,128,6,6.9
0,128,10,5.496
0,128,12,5.35
0,128,15,5.233
0,128,20,4.798
0,128,30,4.599
0,128,60,4.394
0,256,1,14.652
0,256,2,10.532
0,256,4,7.634
0,256,5,7.538
0,256,6,6.869
0,256,10,5.585
0,256,12,5.489
0,256,15,5.351
0,256,20,5.159
0,256,30,4.74
0,256,60,4.498
0,384,1,14.642
0,384,2,10.582
0,384,4,7.879
0,384,5,9.008
0,384,6,7.342
0,384,10,5.901
0,384,12,5.789
0,384,15,5.598
0,384,20,5.137
0,384,30,4.957
0,384,60,4.71
0,512,1,14.745
0,512,2,10.671
0,512,4,8.25
0,512,5,7.789
0,512,6,6.942
0,512,10,5.763
0,512,12,5.72
0,512,15,5.592
0,512,20,5.148
0,512,30,4.97
0,512,60,4.801
0,640,1,15.304
0,640,2,11.195
0,640,4,8.237
0,640,5,7.979
0,640,6,7.644
0,640,10,6.129
0,640,12,5.967
0,640,15,5.756
0,640,20,5.363
0,640,30,5.134
0,640,60,4.905
0,768,1,15.141
0,768,2,11.319
0,768,4,8.827
0,768,5,7.834
0,768,6,7.248
0,768,10,6.39
0,768,12,6.341
0,768,15,6.214
0,768,20,5.729
0,768,30,5.496
0,768,60,5.217
0,896,1,15.138
0,896,2,12.932
0,896,4,9.311
0,896,5,8.547
0,896,6,7.788
0,896,10,6.629
0,896,12,6.481
0,896,15,6.294
0,896,20,5.996
0,896,30,5.892
0,896,60,5.645
0,1024,1,16.39
0,1024,2,11.035
0,1024,4,8.472
0,1024,5,8.529
0,1024,6,7.998
0,1024,10,6.629
0,1024,12,6.446
0,1024,15,6.098
0,1024,20,5.843
0,1024,30,5.573
0,1024,60,5.443
1,128,1,14.458
1,128,2,10.644
1,128,4,7.57
1,128,5,7.019
1,128,6,6.704
1,128,10,5.625
1,128,12,5.532
1,128,15,5.415
1,128,20,4.948
1,128,30,4.728
1,128,60,4.51
1,256,1,15.364
1,256,2,10.291
1,256,4,8.265
1,256,5,7.722
1,256,6,7.197
1,256,10,5.693
1,256,12,5.441
1,256,15,5.203
1,256,20,4.845
1,256,30,4.658
1,256,60,4.496
1,384,1,17.988
1,384,2,10.848
1,384,4,7.704
1,384,5,7.158
1,384,6,7.018
1,384,10,5.951
1,384,12,5.824
1,384,15,5.667
1,384,20,5.24
1,384,30,4.945
1,384,60,4.893
1,512,1,14.698
1,512,2,10.752
1,512,4,8.36
1,512,5,7.88
1,512,6,7.14
1,512,10,5.833
1,512,12,5.673
1,512,15,5.441
1,512,20,5.122
1,512,30,4.971
1,512,60,4.743
1,640,1,15.468
1,640,2,10.719
1,640,4,7.978
1,640,5,7.62
1,640,6,7.687
1,640,10,6.293
1,640,12,6.099
1,640,15,5.939
1,640,20,5.386
1,640,30,5.152
1,640,60,4.92
1,768,1,16.03
1,768,2,11.487
1,768,4,8.741
1,768,5,7.743
1,768,6,7.385
1,768,10,6.442
1,768,12,6.384
1,768,15,6.239
1,768,20,5.814
1,768,30,5.508
1,768,60,5.297
1,896,1,16.802
1,896,2,11.624
1,896,4,9.338
1,896,5,8.47
1,896,6,7.537
1,896,10,6.641
1,896,12,6.552
1,896,15,6.34
1,896,20,6.123
1,896,30,5.905
1,896,60,5.71
1,1024,1,15.41
1,1024,2,10.902
1,1024,4,8.559
1,1024,5,8.583
1,1024,6,8.108
1,1024,10,6.731
1,1024,12,6.513
1,1024,15,6.247
1,1024,20,5.97
1,1024,30,5.774
1,1024,60,5.575
2,128,1,14.477
2,128,2,10.315
2,128,4,7.584
2,128,5,6.907
2,128,6,6.469
2,128,10,5.599
2,128,12,5.483
2,128,15,5.484
2,128,20,4.949
2,128,30,4.683
2,128,60,4.434
2,256,1,13.939
2,256,2,9.986
2,256,4,7.889
2,256,5,7.545
2,256,6,7.137
2,256,10,5.679
2,256,12,5.561
2,256,15,5.197
2,256,20,4.827
2,256,30,5.107
2,256,60,4.51
2,384,1,14.654
2,384,2,10.713
2,384,4,7.928
2,384,5,7.218
2,384,6,6.711
2,384,10,5.854
2,384,12,5.785
2,384,15,5.63
2,384,20,5.249
2,384,30,5.048
2,384,60,4.76
2,512,1,14.494
2,512,2,10.493
2,512,4,8.147
2,512,5,7.836
2,512,6,7.37
2,512,10,5.864
2,512,12,5.778
2,512,15,5.465
2,512,20,5.08
2,512,30,4.893
2,512,60,4.634
2,640,1,15.359
2,640,2,11.125
2,640,4,8.235
2,640,5,7.34
2,640,6,6.994
2,640,10,6.068
2,640,12,6.025
2,640,15,5.943
2,640,20,5.459
2,640,30,5.257
2,640,60,4.96
2,768,1,14.882
2,768,2,11.176
2,768,4,8.622
2,768,5,8.434
2,768,6,7.962
2,768,10,6.43
2,768,12,6.235
2,768,15,6.194
2,768,20,6.014
2,768,30,5.457
2,768,60,5.23
2,896,1,15.689
2,896,2,11.415
2,896,4,8.539
2,896,5,7.829
2,896,6,7.852
2,896,10,6.809
2,896,12,6.678
2,896,15,6.444
2,896,20,5.996
2,896,30,5.778
2,896,60,5.482
2,1024,1,15.457
2,1024,2,11.397
2,1024,4,8.791
2,1024,5,8.163
2,1024,6,7.365
2,1024,10,6.48
2,1024,12,6.443
2,1024,15,6.227
2,1024,20,5.98
2,1024,30,5.711
2,1024,60,5.45
