repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,11.596
0,128,2,8.551
0,128,4,5.984
0,128,5,5.23
0,128,6,5.106
0,128,10,4.281
0,128,12,4.203
0,128,15,4.011
0,128,20,3.819
0,128,30,3.683
0,128,60,3.498
0,256,1,12.197
0,256,2,9.254
0,256,4,6.52
0,256,5,6.072
0,256,6,5.707
0,256,10,5.031
0,256,12,4.802
0,256,15,4.623
0,256,20,4.472
0,256,30,4.357
0,256,60,4.183
0,384,1,12.879
0,384,2,9.799
0,384,4,7.2
0,384,5,6.567
0,384,6,6.381
0,384,10,5.73
0,384,12,5.559
0,384,15,5.322
0,384,20,5.139
0,384,30,4.967
0,384,60,4.812
0,512,1,13.734
0,512,2,10.363
0,512,4,7.637
0,512,5,7.251
0,512,6,7.032
0,512,10,6.399
0,512,12,6.057
0,512,15,5.841
0,512,20,5.67
0,512,30,5.565
0,512,60,5.33
0,640,1,15.254
0,640,2,11.689
0,640,4,8.889
0,640,5,8.595
0,640,6,8.356
0,640,10,7.545
0,640,12,7.243
0,640,15,7.195
0,640,20,6.959
0,640,30,6.777
0,640,60,6.519
0,768,1,15.76
0,768,2,12.478
0,768,4,9.646
0,768,5,9.268
0,768,6,9.061
0,768,10,8.286
0,768,12,7.983
0,768,15,7.856
0,768,20,7.739
0,768,30,7.528
0,768,60,7.237
0,896,1,16.879
0,896,2,13.265
0,896,4,10.439
0,896,5,10.027
0,896,6,9.974
0,896,10,9.029
0,896,12,8.854
0,896,15,8.522
0,896,20,8.401
0,896,30,8.298
0,896,60,7.957
0,1024,1,17.386
0,1024,2,13.887
0,1024,4,11.265
0,1024,5,10.776
0,1024,6,10.67
0,1024,10,9.868
0,1024,12,9.569
0,1024,15,9.415
0,1024,20,9.151
0,1024,30,9.091
0,1024,60,8.812
1,128,1,11.208
1,128,2,8.5
1,128,4,5.94
1,128,5,5.387
1,128,6,5.003
1,128,10,4.4
1,128,12,4.113
1,128,15,4.02
1,128,20,3.795
1,128,30,3.683
1,128,60,3.465
1,256,1,12.164
1,256,2,9.197
1,256,4,6.688
1,256,5,5.927
1,256,6,5.84
1,256,10,5.006
1,256,12,4.792
1,256,15,4.665
1,256,20,4.46
1,256,30,4.404
1,256,60,4.193
1,384,1,12.861
1,384,2,9.835
1,384,4,7.055
1,384,5,6.636
1,384,6,6.503
1,384,10,5.661
1,384,12,5.442
1,384,15,5.383
1,384,20,5.187
1,384,30,4.991
1,384,60,4.787
1,512,1,13.839
1,512,2,10.362
1,512,4,7.665
1,512,5,7.224
1,512,6,7.065
1,512,10,6.26
1,512,12,5.975
1,512,15,5.819
1,512,20,5.728
1,512,30,5.563
1,512,60,5.349
1,640,1,15.175
1,640,2,11.828
1,640,4,9.02
1,640,5,8.459
1,640,6,8.393
1,640,10,7.53
1,640,12,7.237
1,640,15,7.101
1,640,20,7.029
1,640,30,6.855
1,640,60,6.648
1,768,1,16.592
1,768,2,12.627
1,768,4,9.682
1,768,5,9.268
1,768,6,10.602
1,768,10,8.479
1,768,12,8.097
1,768,15,7.911
1,768,20,7.728
1,768,30,7.555
1,768,60,7.352
1,896,1,17.649
1,896,2,13.816
1,896,4,10.68
1,896,5,10.267
1,896,6,10.051
1,896,10,9.174
1,896,12,8.79
1,896,15,8.66
1,896,20,8.463
1,896,30,8.28
1,896,60,8.107
1,1024,1,18.531
1,1024,2,14.668
1,1024,4,11.53
1,1024,5,11.121
1,1024,6,10.875
1,1024,10,10.012
1,1024,12,9.582
1,1024,15,9.508
1,1024,20,9.241
1,1024,30,9.067
1,1024,60,8.763
2,128,1,12.571
2,128,2,8.926
2,128,4,6.275
2,128,5,5.486
2,128,6,5.173
2,128,10,4.431
2,128,12,4.249
2,128,15,4.087
2,128,20,3.944
2,128,30,3.648
2,128,60,3.573
2,256,1,13.284
2,256,2,9.661
2,256,4,6.909
2,256,5,6.131
2,256,6,6
2,256,10,5.099
2,256,12,4.856
2,256,15,4.729
2,256,20,4.546
2,256,30,4.372
2,256,60,4.154
2,384,1,14.027
2,384,2,10.306
2,384,4,7.436
2,384,5,6.946
2,384,6,6.691
2,384,10,5.89
2,384,12,5.541
2,384,15,5.41
2,384,20,5.179
2,384,30,5.066
2,384,60,4.928
2,512,1,15.157
2,512,2,10.945
2,512,4,8.092
2,512,5,7.439
2,512,6,7.262
2,512,10,6.401
2,512,12,6.13
2,512,15,5.966
2,512,20,5.788
2,512,30,5.621
2,512,60,5.426
2,640,1,16.439
2,640,2,12.105
2,640,4,9.253
2,640,5,8.814
2,640,6,8.495
2,640,10,7.707
2,640,12,7.352
2,640,15,7.251
2,640,20,6.959
2,640,30,6.85
2,640,60,6.592
2,768,1,16.98
2,768,2,13.152
2,768,4,9.956
2,768,5,9.627
2,768,6,9.385
2,768,10,8.466
2,768,12,8.177
2,768,15,8.018
2,768,20,7.82
2,768,30,7.645
2,768,60,7.317
2,896,1,18.791
2,896,2,13.84
2,896,4,10.731
2,896,5,10.298
2,896,6,10.092
2,896,10,9.409
2,896,12,8.883
2,896,15,8.602
2,896,20,8.423
2,896,30,8.33
2,896,60,8.074
2,1024,1,18.683
2,1024,2,14.815
2,1024,4,11.536
2,1024,5,11.015
2,1024,6,10.87
2,1024,10,9.961
2,1024,12,9.682
2,1024,15,9.565
2,1024,20,9.203
2,1024,30,9.166
2,1024,60,8.896
