repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,5.942
0,2048,2,3.846
0,2048,3,3.248
0,2048,4,2.89
0,2048,5,2.788
0,2048,6,2.722
0,2048,8,2.616
0,2048,9,2.544
0,2048,10,2.506
0,2048,11,2.551
0,2048,12,2.544
0,2048,15,2.53
0,2048,20,2.575
0,4096,1,7.024
0,4096,2,4.36
0,4096,3,3.56
0,4096,4,3.116
0,4096,5,2.918
0,4096,6,2.798
0,4096,8,2.721
0,4096,9,2.676
0,4096,10,2.579
0,4096,11,2.643
0,4096,12,2.62
0,4096,15,2.646
0,4096,20,2.746
0,6144,1,9.16
0,6144,2,5.676
0,6144,3,4.321
0,6144,4,3.754
0,6144,5,3.441
0,6144,6,3.243
0,6144,8,3.165
0,6144,9,3.07
0,6144,10,2.937
0,6144,11,3.184
0,6144,12,3.083
0,6144,15,3.122
0,6144,20,3.129
0,8192,1,10.608
0,8192,2,6.2
0,8192,3,4.761
0,8192,4,4.086
0,8192,5,3.687
0,8192,6,3.593
0,8192,8,3.368
0,8192,9,3.354
0,8192,10,3.174
0,8192,11,3.284
0,8192,12,3.286
0,8192,15,3.29
0,8192,20,3.319
1,2048,1,5.842
1,2048,2,3.759
1,2048,3,3.106
1,2048,4,2.956
1,2048,5,2.722
1,2048,6,2.659
1,2048,8,2.635
1,2048,9,2.607
1,2048,10,2.547
1,2048,11,2.581
1,2048,12,2.577
1,2048,15,2.548
1,2048,20,2.59
1,4096,1,7.204
1,4096,2,4.519
1,4096,3,3.588
1,4096,4,3.186
1,4096,5,2.945
1,4096,6,2.857
1,4096,8,2.692
1,4096,9,2.687
1,4096,10,2.57
1,4096,11,2.636
1,4096,12,2.671
1,4096,15,2.636
1,4096,20,2.709
1,6144,1,9.282
1,6144,2,5.6
1,6144,3,4.303
1,6144,4,3.743
1,6144,5,3.451
1,6144,6,3.256
1,6144,8,3.132
1,6144,9,3.113
1,6144,10,2.958
1,6144,11,2.988
1,6144,12,3.041
1,6144,15,3.059
1,6144,20,3.094
1,8192,1,10.584
1,8192,2,6.217
1,8192,3,4.759
1,8192,4,4.159
1,8192,5,3.77
1,8192,6,3.564
1,8192,8,3.352
1,8192,9,3.26
1,8192,10,3.135
1,8192,11,3.265
1,8192,12,3.27
1,8192,15,3.285
1,8192,20,3.313
2,2048,1,5.818
2,2048,2,3.9
2,2048,3,3.313
2,2048,4,3.022
2,2048,5,2.79
2,2048,6,2.697
2,2048,8,2.675
2,2048,9,2.617
2,2048,10,2.495
2,2048,11,2.553
2,2048,12,2.506
2,2048,15,2.569
2,2048,20,2.564
2,4096,1,7.203
2,4096,2,4.406
2,4096,3,3.578
2,4096,4,3.118
2,4096,5,2.878
2,4096,6,2.995
2,4096,8,2.709
2,4096,9,2.69
2,4096,10,2.612
2,4096,11,2.612
2,4096,12,2.601
2,4096,15,2.642
2,4096,20,2.622
2,6144,1,9.246
2,6144,2,5.535
2,6144,3,4.386
2,6144,4,3.778
2,6144,5,3.49
2,6144,6,3.307
2,6144,8,3.131
2,6144,9,3.06
2,6144,10,3.034
2,6144,11,3.079
2,6144,12,3.046
2,6144,15,3.171
2,6144,20,3.109
2,8192,1,10.826
2,8192,2,6.211
2,8192,3,4.761
2,8192,4,4.19
2,8192,5,3.701
2,8192,6,3.522
2,8192,8,3.359
2,8192,9,3.279
2,8192,10,3.089
2,8192,11,3.283
2,8192,12,3.265
2,8192,15,3.291
2,8192,20,3.398
