repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,16.555
0,2048,2,8.799
0,2048,3,6.139
0,2048,4,4.831
0,2048,5,4.035
0,2048,6,3.51
0,2048,8,3.007
0,2048,9,2.756
0,2048,10,2.493
0,2048,11,2.797
0,2048,12,2.799
0,2048,15,2.854
0,2048,20,2.84
0,4096,1,31.21
0,4096,2,16.068
0,4096,3,10.985
0,4096,4,8.449
0,4096,5,6.928
0,4096,6,5.879
0,4096,8,5.086
0,4096,9,4.602
0,4096,10,4.111
0,4096,11,4.5
0,4096,12,4.433
0,4096,15,4.449
0,4096,20,4.499
0,6144,1,45.813
0,6144,2,23.42
0,6144,3,15.854
0,6144,4,12.111
0,6144,5,9.91
0,6144,6,8.68
0,6144,8,7.27
0,6144,9,6.497
0,6144,10,5.687
0,6144,11,6.172
0,6144,12,6.06
0,6144,15,6.091
0,6144,20,6.075
0,8192,1,60.499
0,8192,2,30.749
0,8192,3,20.781
0,8192,4,16.43
0,8192,5,13.574
0,8192,6,11.565
0,8192,8,10.444
0,8192,9,10.023
0,8192,10,9.449
0,8192,11,9.875
0,8192,12,9.662
0,8192,15,9.655
0,8192,20,9.637
1,2048,1,16.518
1,2048,2,8.772
1,2048,3,6.098
1,2048,4,4.823
1,2048,5,4.058
1,2048,6,3.532
1,2048,8,3.004
1,2048,9,2.77
1,2048,10,2.51
1,2048,11,2.778
1,2048,12,2.798
1,2048,15,2.844
1,2048,20,2.852
1,4096,1,31.058
1,4096,2,16.019
1,4096,3,10.928
1,4096,4,8.451
1,4096,5,6.943
1,4096,6,5.907
1,4096,8,5.068
1,4096,9,4.606
1,4096,10,4.087
1,4096,11,4.454
1,4096,12,4.491
1,4096,15,4.476
1,4096,20,4.446
1,6144,1,45.812
1,6144,2,23.427
1,6144,3,15.877
1,6144,4,12.109
1,6144,5,9.926
1,6144,6,8.711
1,6144,8,7.266
1,6144,9,6.541
1,6144,10,5.689
1,6144,11,6.215
1,6144,12,6.097
1,6144,15,6.113
1,6144,20,6.124
1,8192,1,60.442
1,8192,2,30.608
1,8192,3,20.707
1,8192,4,16.459
1,8192,5,13.679
1,8192,6,11.557
1,8192,8,10.527
1,8192,9,10.004
1,8192,10,9.536
1,8192,11,9.877
1,8192,12,9.627
1,8192,15,9.599
1,8192,20,9.648
2,2048,1,16.508
2,2048,2,8.768
2,2048,3,6.09
2,2048,4,4.775
2,2048,5,4.012
2,2048,6,3.541
2,2048,8,2.97
2,2048,9,2.743
2,2048,10,2.469
2,2048,11,2.8
2,2048,12,2.777
2,2048,15,2.831
2,2048,20,2.845
2,4096,1,31.085
2,4096,2,16
2,4096,3,10.933
2,4096,4,8.45
2,4096,5,6.934
2,4096,6,5.964
2,4096,8,5.097
2,4096,9,4.567
2,4096,10,4.091
2,4096,11,4.49
2,4096,12,4.461
2,4096,15,4.487
2,4096,20,4.474
2,6144,1,45.778
2,6144,2,23.402
2,6144,3,15.86
2,6144,4,12.127
2,6144,5,9.93
2,6144,6,8.646
2,6144,8,7.22
2,6144,9,6.463
2,6144,10,5.672
2,6144,11,6.194
2,6144,12,6.027
2,6144,15,6.011
2,6144,20,6.206
2,8192,1,60.356
2,8192,2,30.579
2,8192,3,20.755
2,8192,4,16.442
2,8192,5,13.551
2,8192,6,11.551
2,8192,8,10.442
2,8192,9,9.966
2,8192,10,9.5
2,8192,11,9.862
2,8192,12,9.642
2,8192,15,9.602
2,8192,20,9.549
