repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,3.677
0,128,2,2.817
0,128,3,2.592
0,128,4,2.58
0,128,5,2.536
0,128,6,2.461
0,128,8,2.386
0,128,9,2.523
0,128,10,2.388
0,128,11,2.402
0,128,12,2.408
0,128,15,2.421
0,128,20,2.42
0,256,1,3.875
0,256,2,2.888
0,256,3,2.644
0,256,4,2.555
0,256,5,2.478
0,256,6,2.431
0,256,8,2.538
0,256,9,2.537
0,256,10,2.445
0,256,11,2.468
0,256,12,2.431
0,256,15,2.414
0,256,20,2.487
0,384,1,4.202
0,384,2,3.164
0,384,3,2.816
0,384,4,2.591
0,384,5,2.538
0,384,6,2.488
0,384,8,2.557
0,384,9,2.56
0,384,10,2.432
0,384,11,2.439
0,384,12,2.456
0,384,15,2.425
0,384,20,2.439
0,512,1,4.299
0,512,2,3.118
0,512,3,2.869
0,512,4,2.654
0,512,5,2.532
0,512,6,2.552
0,512,8,2.512
0,512,9,2.627
0,512,10,2.474
0,512,11,2.535
0,512,12,2.453
0,512,15,2.461
0,512,20,2.478
0,640,1,4.485
0,640,2,3.23
0,640,3,2.88
0,640,4,2.601
0,640,5,2.49
0,640,6,2.553
0,640,8,2.539
0,640,9,2.545
0,640,10,2.449
0,640,11,2.511
0,640,12,2.466
0,640,15,2.487
0,640,20,2.494
0,768,1,4.74
0,768,2,3.282
0,768,3,2.989
0,768,4,2.78
0,768,5,2.728
0,768,6,2.577
0,768,8,2.656
0,768,9,2.569
0,768,10,2.491
0,768,11,2.682
0,768,12,2.591
0,768,15,2.539
0,768,20,2.602
0,896,1,4.889
0,896,2,3.419
0,896,3,3.064
0,896,4,2.824
0,896,5,2.855
0,896,6,2.757
0,896,8,2.833
0,896,9,2.791
0,896,10,2.599
0,896,11,2.748
0,896,12,2.785
0,896,15,2.817
0,896,20,2.804
0,1024,1,5.026
0,1024,2,3.382
0,1024,3,3.055
0,1024,4,2.879
0,1024,5,2.672
0,1024,6,2.542
0,1024,8,2.539
0,1024,9,2.518
0,1024,10,2.474
0,1024,11,2.483
0,1024,12,2.474
0,1024,15,2.484
0,1024,20,2.492
1,128,1,3.697
1,128,2,2.96
1,128,3,2.711
1,128,4,2.564
1,128,5,2.44
1,128,6,2.448
1,128,8,2.489
1,128,9,2.477
1,128,10,2.386
1,128,11,2.411
1,128,12,2.391
1,128,15,2.528
1,128,20,2.437
1,256,1,3.914
1,256,2,3.129
1,256,3,2.859
1,256,4,2.5
1,256,5,2.535
1,256,6,2.462
1,256,8,2.471
1,256,9,2.41
1,256,10,2.387
1,256,11,2.794
1,256,12,2.44
1,256,15,2.408
1,256,20,2.621
1,384,1,4.067
1,384,2,3.181
1,384,3,2.836
1,384,4,2.551
1,384,5,2.514
1,384,6,2.466
1,384,8,2.441
