repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,2.896
0,128,2,1.916
0,128,3,1.702
0,128,4,1.63
0,128,5,1.581
0,128,6,1.621
0,128,8,1.595
0,128,9,1.576
0,128,10,1.554
0,128,11,1.709
0,128,12,1.533
0,128,15,1.547
0,128,20,1.576
0,256,1,3.665
0,256,2,2.293
0,256,3,1.904
0,256,4,1.737
0,256,5,1.663
0,256,6,1.688
0,256,8,1.628
0,256,9,1.623
0,256,10,1.566
0,256,11,1.593
0,256,12,1.557
0,256,15,1.577
0,256,20,1.613
0,384,1,4.58
0,384,2,2.857
0,384,3,2.138
0,384,4,1.904
0,384,5,1.748
0,384,6,1.683
0,384,8,1.639
0,384,9,1.635
0,384,10,1.585
0,384,11,1.632
0,384,12,1.617
0,384,15,1.614
0,384,20,1.6
0,512,1,5.516
0,512,2,3.318
0,512,3,2.57
0,512,4,2.115
0,512,5,1.923
0,512,6,1.764
0,512,8,1.689
0,512,9,1.663
0,512,10,1.659
0,512,11,1.692
0,512,12,1.662
0,512,15,1.649
0,512,20,1.668
0,640,1,6.133
0,640,2,3.657
0,640,3,2.736
0,640,4,2.349
0,640,5,2.022
0,640,6,1.895
0,640,8,1.765
0,640,9,1.721
0,640,10,1.734
0,640,11,1.744
0,640,12,1.735
0,640,15,1.721
0,640,20,1.726
0,768,1,7.697
0,768,2,4.335
0,768,3,3.223
0,768,4,2.648
0,768,5,2.39
0,768,6,2.115
0,768,8,1.952
0,768,9,1.874
0,768,10,1.769
0,768,11,1.884
0,768,12,1.904
0,768,15,1.949
0,768,20,1.911
0,896,1,8.55
0,896,2,4.756
0,896,3,3.469
0,896,4,3.025
0,896,5,2.449
0,896,6,2.408
0,896,8,2.221
0,896,9,1.914
0,896,10,1.813
0,896,11,2.009
0,896,12,2.003
0,896,15,2.027
0,896,20,2.112
0,1024,1,9.4
0,1024,2,5.345
0,1024,3,3.737
0,1024,4,2.985
0,1024,5,2.639
0,1024,6,2.395
0,1024,8,2.127
0,1024,9,2.05
0,1024,10,1.848
0,1024,11,2.045
0,1024,12,2.049
0,1024,15,2.066
0,1024,20,2.028
1,128,1,2.957
1,128,2,1.965
1,128,3,1.766
1,128,4,1.746
1,128,5,1.588
1,128,6,1.585
1,128,8,1.581
1,128,9,1.558
1,128,10,1.544
1,128,11,1.596
1,128,12,1.659
1,128,15,1.561
1,128,20,1.55
1,256,1,3.659
1,256,2,2.594
1,256,3,2.199
1,256,4,2.05
1,256,5,1.91
1,256,6,1.815
1,256,8,1.674
1,256,9,1.594
1,256,10,1.592
1,256,11,1.578
1,256,12,1.656
1,256,15,1.571
1,256,20,1.602
1,384,1,4.558
1,384,2,2.695
1,384,3,2.126
1,384,4,1.9
1,384,5,1.97
1,384,6,1.652
1,384,8,1.66
1,384,9,1.669
1,384,10,1.591
1,384,11,1.632
1,384,12,1.605
1,384,15,1.618
1,384,20,1.641
1,512,1,5.47
1,512,2,3.183
1,512,3,2.494
1,512,4,2.092
1,512,5,2.145
1,512,6,2.031
1,512,8,1.727
1,512,9,1.697
1,512,10,1.632
1,512,11,1.689
1,512,12,1.651
1,512,15,1.668
1,512,20,1.677
1,640,1,6.185
1,640,2,3.63
1,640,3,2.732
1,640,4,2.244
1,640,5,2.047
1,640,6,1.929
1,640,8,1.967
1,640,9,1.871
1,640,10,1.711
1,640,11,1.771
1,640,12,1.746
1,640,15,1.718
1,640,20,1.774
1,768,1,7.728
1,768,2,4.53
1,768,3,3.361
1,768,4,2.747
1,768,5,2.455
1,768,6,2.129
1,768,8,1.93
1,768,9,1.845
1,768,10,1.753
1,768,11,1.908
1,768,12,1.901
1,768,15,1.902
1,768,20,1.933
1,896,1,8.771
1,896,2,4.805
1,896,3,3.501
1,896,4,2.815
1,896,5,2.459
1,896,6,2.255
1,896,8,2.003
1,896,9,2
1,896,10,1.876
1,896,11,2.159
1,896,12,2.047
1,896,15,2.114
1,896,20,2.072
1,1024,1,9.535
1,1024,2,5.248
1,1024,3,3.81
1,1024,4,3.072
1,1024,5,2.772
1,1024,6,2.389
1,1024,8,2.176
1,1024,9,2.079
1,1024,10,1.9
1,1024,11,2.069
1,1024,12,2.117
1,1024,15,2.174
1,1024,20,2.108
2,128,1,2.922
2,128,2,2.03
2,128,3,1.688
2,128,4,1.6
2,128,5,1.607
2,128,6,1.716
2,128,8,1.633
2,128,9,1.589
2,128,10,1.551
2,128,11,1.615
2,128,12,1.604
2,128,15,1.57
2,128,20,1.584
2,256,1,3.724
2,256,2,2.371
2,256,3,1.936
2,256,4,1.746
2,256,5,1.659
2,256,6,1.672
2,256,8,1.621
2,256,9,1.633
2,256,10,1.604
2,256,11,1.777
2,256,12,1.642
2,256,15,1.608
2,256,20,1.663
2,384,1,4.504
2,384,2,2.824
2,384,3,2.136
2,384,4,1.93
2,384,5,1.772
2,384,6,1.698
2,384,8,1.67
2,384,9,1.688
2,384,10,1.707
2,384,11,1.661
2,384,12,1.626
2,384,15,1.738
2,384,20,1.843
2,512,1,5.469
2,512,2,3.28
2,512,3,2.469
2,512,4,2.045
2,512,5,1.922
2,512,6,1.822
2,512,8,1.718
2,512,9,1.725
2,512,10,1.659
2,512,11,1.686
2,512,12,1.685
2,512,15,1.683
2,512,20,1.827
2,640,1,6.146
2,640,2,3.542
2,640,3,2.708
2,640,4,2.328
2,640,5,1.981
2,640,6,1.844
2,640,8,1.803
2,640,9,1.768
2,640,10,1.726
2,640,11,1.795
2,640,12,1.755
2,640,15,1.747
2,640,20,1.92
2,768,1,7.719
2,768,2,4.445
2,768,3,3.23
2,768,4,2.688
2,768,5,2.331
2,768,6,2.08
2,768,8,1.909
2,768,9,1.905
2,768,10,1.762
2,768,11,2.051
2,768,12,1.933
2,768,15,1.932
2,768,20,1.937
2,896,1,8.492
2,896,2,4.802
2,896,3,3.516
2,896,4,2.82
2,896,5,2.488
2,896,6,2.332
2,896,8,2.066
2,896,9,1.945
2,896,10,1.85
2,896,11,2.116
2,896,12,2.101
2,896,15,2.087
2,896,20,2.056
2,1024,1,9.405
2,1024,2,5.222
2,1024,3,3.763
2,1024,4,3.018
2,1024,5,2.641
2,1024,6,2.566
2,1024,8,2.062
2,1024,9,2.006
2,1024,10,1.861
2,1024,11,2.042
2,1024,12,2.065
2,1024,15,2.062
2,1024,20,2.081
