repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,5.811
0,2048,2,3.682
0,2048,3,3.072
0,2048,4,2.812
0,2048,5,2.643
0,2048,6,2.589
0,2048,8,2.527
0,2048,9,2.482
0,2048,10,2.433
0,2048,11,2.532
0,2048,12,2.428
0,2048,15,2.447
0,2048,20,2.448
0,4096,1,7.056
0,4096,2,4.26
0,4096,3,3.44
0,4096,4,3.096
0,4096,5,2.879
0,4096,6,2.699
0,4096,8,2.607
0,4096,9,2.565
0,4096,10,2.455
0,4096,11,2.502
0,4096,12,2.521
0,4096,15,2.897
0,4096,20,2.528
0,6144,1,9.111
0,6144,2,5.377
0,6144,3,4.15
0,6144,4,3.624
0,6144,5,3.38
0,6144,6,3.173
0,6144,8,3.024
0,6144,9,2.995
0,6144,10,2.848
0,6144,11,2.938
0,6144,12,2.946
0,6144,15,2.952
0,6144,20,2.975
0,8192,1,10.513
0,8192,2,6.052
0,8192,3,4.661
0,8192,4,3.99
0,8192,5,3.577
0,8192,6,3.405
0,8192,8,3.251
0,8192,9,3.2
0,8192,10,3.046
0,8192,11,3.158
0,8192,12,3.175
0,8192,15,3.196
0,8192,20,3.223
1,2048,1,5.839
1,2048,2,3.724
1,2048,3,3.244
1,2048,4,2.91
1,2048,5,2.732
1,2048,6,2.643
1,2048,8,2.579
1,2048,9,2.526
1,2048,10,2.406
1,2048,11,2.435
1,2048,12,2.419
1,2048,15,2.442
1,2048,20,2.448
1,4096,1,7.072
1,4096,2,4.281
1,4096,3,3.469
1,4096,4,3.055
1,4096,5,2.832
1,4096,6,2.784
1,4096,8,2.671
1,4096,9,2.593
1,4096,10,2.485
1,4096,11,2.53
1,4096,12,2.51
1,4096,15,2.528
1,4096,20,2.577
1,6144,1,9.197
1,6144,2,5.38
1,6144,3,4.259
1,6144,4,3.693
1,6144,5,3.38
1,6144,6,3.202
1,6144,8,3.034
1,6144,9,2.952
1,6144,10,2.851
1,6144,11,2.939
1,6144,12,2.943
1,6144,15,2.971
1,6144,20,2.986
1,8192,1,10.42
1,8192,2,6.054
1,8192,3,4.656
1,8192,4,4.06
1,8192,5,3.649
1,8192,6,3.408
1,8192,8,3.232
1,8192,9,3.178
1,8192,10,3.007
1,8192,11,3.141
1,8192,12,3.162
1,8192,15,3.164
1,8192,20,3.211
2,2048,1,5.792
2,2048,2,3.635
2,2048,3,3.1
2,2048,4,2.813
2,2048,5,2.689
2,2048,6,2.565
2,2048,8,2.47
2,2048,9,2.479
2,2048,10,2.431
2,2048,11,2.418
2,2048,12,2.418
2,2048,15,2.41
2,2048,20,2.459
2,4096,1,7.253
2,4096,2,4.293
2,4096,3,3.483
2,4096,4,3.102
2,4096,5,2.867
2,4096,6,2.7
2,4096,8,2.598
2,4096,9,2.603
2,4096,10,2.456
2,4096,11,2.508
2,4096,12,2.508
2,4096,15,2.518
2,4096,20,2.557
2,6144,1,9.254
2,6144,2,5.512
2,6144,3,4.208
2,6144,4,3.727
2,6144,5,3.363
2,6144,6,3.188
2,6144,8,2.957
2,6144,9,3.003
2,6144,10,2.848
2,6144,11,2.941
2,6144,12,2.929
2,6144,15,2.959
2,6144,20,2.963
2,8192,1,10.636
2,8192,2,6.092
2,8192,3,4.655
2,8192,4,4.038
2,8192,5,3.665
2,8192,6,3.457
2,8192,8,3.218
2,8192,9,3.155
2,8192,10,3.008
2,8192,11,3.139
2,8192,12,3.145
2,8192,15,3.182
2,8192,20,3.197
