repetition,pop_size,ensemble_size,s_sim_mean
0,2048,1,16.444
0,2048,2,8.607
0,2048,3,5.932
0,2048,4,4.658
0,2048,5,3.87
0,2048,6,3.389
0,2048,8,2.864
0,2048,9,2.607
0,2048,10,2.34
0,2048,11,2.675
0,2048,12,2.671
0,2048,15,2.736
0,2048,20,2.743
0,4096,1,30.941
0,4096,2,15.846
0,4096,3,10.827
0,4096,4,8.336
0,4096,5,6.795
0,4096,6,5.791
0,4096,8,4.918
0,4096,9,4.452
0,4096,10,3.967
0,4096,11,4.321
0,4096,12,4.315
0,4096,15,4.316
0,4096,20,4.324
0,6144,1,45.599
0,6144,2,23.091
0,6144,3,15.664
0,6144,4,11.95
0,6144,5,9.714
0,6144,6,8.531
0,6144,8,7.068
0,6144,9,6.314
0,6144,10,5.496
0,6144,11,5.968
0,6144,12,5.857
0,6144,15,6.073
0,6144,20,5.978
0,8192,1,60.09
0,8192,2,30.505
0,8192,3,20.56
0,8192,4,16.072
0,8192,5,13.399
0,8192,6,11.304
0,8192,8,10.325
0,8192,9,9.88
0,8192,10,9.399
0,8192,11,9.683
0,8192,12,9.362
0,8192,15,9.416
0,8192,20,9.406
1,2048,1,16.504
1,2048,2,8.604
1,2048,3,6.01
1,2048,4,4.68
1,2048,5,3.88
1,2048,6,3.335
1,2048,8,2.888
1,2048,9,2.62
1,2048,10,2.329
1,2048,11,2.65
1,2048,12,2.687
1,2048,15,2.678
1,2048,20,2.684
1,4096,1,30.902
1,4096,2,15.825
1,4096,3,10.778
1,4096,4,8.255
1,4096,5,6.742
1,4096,6,5.788
1,4096,8,4.964
1,4096,9,4.457
1,4096,10,3.94
1,4096,11,4.35
1,4096,12,4.292
1,4096,15,4.341
1,4096,20,4.272
1,6144,1,45.599
1,6144,2,23.173
1,6144,3,15.697
1,6144,4,11.924
1,6144,5,9.713
1,6144,6,8.528
1,6144,8,7.002
1,6144,9,6.282
1,6144,10,5.567
1,6144,11,6.052
1,6144,12,5.884
1,6144,15,5.866
1,6144,20,5.939
1,8192,1,60.155
1,8192,2,30.625
1,8192,3,20.564
1,8192,4,16.229
1,8192,5,13.318
1,8192,6,11.321
1,8192,8,10.26
1,8192,9,9.827
1,8192,10,9.316
1,8192,11,9.668
1,8192,12,9.447
1,8192,15,9.437
1,8192,20,9.444
2,2048,1,16.513
2,2048,2,8.617
2,2048,3,5.979
2,2048,4,4.659
2,2048,5,3.886
2,2048,6,3.369
2,2048,8,2.833
2,2048,9,2.618
2,2048,10,2.354
2,2048,11,2.62
2,2048,12,2.661
2,2048,15,2.744
2,2048,20,2.715
2,4096,1,30.982
2,4096,2,15.856
2,4096,3,10.819
2,4096,4,8.241
2,4096,5,6.743
2,4096,6,5.826
2,4096,8,4.925
2,4096,9,4.462
2,4096,10,3.958
2,4096,11,4.351
2,4096,12,4.224
2,4096,15,4.327
2,4096,20,4.304
2,6144,1,45.572
2,6144,2,23.114
2,6144,3,15.689
2,6144,4,11.941
2,6144,5,9.711
2,6144,6,8.849
2,6144,8,7.055
2,6144,9,6.291
2,6144,10,5.481
2,6144,11,6.043
2,6144,12,5.887
2,6144,15,5.914
2,6144,20,5.901
2,8192,1,60.115
2,8192,2,30.459
2,8192,3,20.531
2,8192,4,16.028
2,8192,5,13.378
2,8192,6,11.307
2,8192,8,10.239
2,8192,9,9.843
2,8192,10,9.306
2,8192,11,9.656
2,8192,12,9.468
2,8192,15,9.484
2,8192,20,9.436
