repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,3.8
0,128,2,2.963
0,128,3,2.761
0,128,4,2.536
0,128,5,2.446
0,128,6,2.445
0,128,8,2.338
0,128,9,2.374
0,128,10,2.7
0,128,11,2.304
0,128,12,2.31
0,128,15,2.283
0,128,20,2.337
0,256,1,3.83
0,256,2,2.812
0,256,3,2.677
0,256,4,2.523
0,256,5,2.477
0,256,6,2.375
0,256,8,2.304
0,256,9,2.335
0,256,10,2.393
0,256,11,2.272
0,256,12,2.281
0,256,15,2.483
0,256,20,2.344
0,384,1,4.056
0,384,2,2.984
0,384,3,2.789
0,384,4,2.579
0,384,5,2.508
0,384,6,2.461
0,384,8,2.438
0,384,9,2.468
0,384,10,2.358
0,384,11,2.373
0,384,12,2.358
0,384,15,2.343
0,384,20,2.374
0,512,1,4.299
0,512,2,3.191
0,512,3,2.779
0,512,4,2.573
0,512,5,2.516
0,512,6,2.624
0,512,8,2.447
0,512,9,2.561
0,512,10,2.365
0,512,11,2.358
0,512,12,2.378
0,512,15,2.412
0,512,20,2.436
0,640,1,4.568
0,640,2,3.072
0,640,3,2.853
0,640,4,2.611
0,640,5,2.505
0,640,6,2.541
0,640,8,2.447
0,640,9,2.435
0,640,10,2.34
0,640,11,2.416
0,640,12,2.394
0,640,15,2.383
0,640,20,2.48
0,768,1,4.715
0,768,2,3.289
0,768,3,2.913
0,768,4,2.698
0,768,5,2.701
0,768,6,2.568
0,768,8,2.527
0,768,9,2.497
0,768,10,2.452
0,768,11,2.484
0,768,12,2.51
0,768,15,2.575
0,768,20,2.547
0,896,1,4.83
0,896,2,3.426
0,896,3,3.079
0,896,4,2.871
0,896,5,2.74
0,896,6,2.765
0,896,8,2.683
0,896,9,2.622
0,896,10,2.567
0,896,11,2.667
0,896,12,2.71
0,896,15,2.696
0,896,20,2.733
0,1024,1,5.004
0,1024,2,3.391
0,1024,3,2.99
0,1024,4,2.723
0,1024,5,2.627
0,1024,6,2.513
0,1024,8,2.472
0,1024,9,2.484
0,1024,10,2.38
0,1024,11,2.408
0,1024,12,2.397
0,1024,15,2.419
0,1024,20,2.42
1,128,1,3.67
1,128,2,2.781
1,128,3,2.927
1,128,4,2.505
1,128,5,2.483
1,128,6,2.445
1,128,8,2.363
1,128,9,2.404
1,128,10,2.352
1,128,11,2.319
1,128,12,2.349
1,128,15,2.364
1,128,20,2.371
1,256,1,3.908
1,256,2,2.877
1,256,3,2.607
1,256,4,2.539
1,256,5,2.472
1,256,6,2.45
1,256,8,2.439
1,256,9,2.391
1,256,10,2.332
1,256,11,2.32
1,256,12,2.336
1,256,15,2.315
1,256,20,2.334
1,384,1,4.051
1,384,2,2.954
1,384,3,2.643
1,384,4,2.493
1,384,5,2.514
1,384,6,2.401
1,384,8,2.451
1,384,9,2.419
1,384,10,2.337
1,384,11,2.323
1,384,12,2.333
1,384,15,2.345
1,384,20,2.358
1,512,1,4.447
1,512,2,3.133
1,512,3,2.743
1,512,4,2.627
1,512,5,2.546
1,512,6,2.465
1,512,8,2.445
1,512,9,2.409
1,512,10,2.34
1,512,11,2.332
1,512,12,2.346
1,512,15,2.319
1,512,20,2.377
1,640,1,4.423
1,640,2,3.226
1,640,3,2.809
1,640,4,2.59
1,640,5,2.533
1,640,6,2.463
1,640,8,2.395
1,640,9,2.439
1,640,10,2.33
1,640,11,2.368
1,640,12,2.355
1,640,15,2.356
1,640,20,2.379
1,768,1,4.748
1,768,2,3.287
1,768,3,2.914
1,768,4,2.658
1,768,5,2.578
1,768,6,2.539
1,768,8,2.493
1,768,9,2.501
1,768,10,2.42
1,768,11,2.467
1,768,12,2.496
1,768,15,2.503
1,768,20,2.559
1,896,1,4.72
1,896,2,3.363
1,896,3,3.076
1,896,4,2.791
1,896,5,2.732
1,896,6,2.692
1,896,8,2.614
1,896,9,2.626
1,896,10,2.55
1,896,11,2.669
1,896,12,2.664
1,896,15,2.709
1,896,20,2.726
1,1024,1,5.044
1,1024,2,3.351
1,1024,3,2.95
1,1024,4,2.675
1,1024,5,2.609
1,1024,6,2.493
1,1024,8,2.471
1,1024,9,2.417
1,1024,10,2.354
1,1024,11,2.385
1,1024,12,2.399
1,1024,15,2.374
1,1024,20,2.431
2,128,1,3.807
2,128,2,2.784
2,128,3,2.567
2,128,4,2.465
2,128,5,2.44
2,128,6,2.376
2,128,8,2.399
2,128,9,2.371
2,128,10,2.29
2,128,11,2.292
2,128,12,2.31
2,128,15,2.326
2,128,20,2.321
2,256,1,3.815
2,256,2,2.871
2,256,3,2.627
2,256,4,2.494
2,256,5,2.519
2,256,6,2.482
2,256,8,2.38
2,256,9,2.387
2,256,10,2.27
2,256,11,2.306
2,256,12,2.313
2,256,15,2.294
2,256,20,2.311
2,384,1,4.09
2,384,2,2.96
2,384,3,2.685
2,384,4,2.571
2,384,5,2.457
2,384,6,2.495
2,384,8,2.366
2,384,9,2.353
2,384,10,2.301
2,384,11,2.31
2,384,12,2.319
2,384,15,2.334
2,384,20,2.346
2,512,1,4.339
2,512,2,3.064
2,512,3,2.769
2,512,4,2.653
2,512,5,2.575
2,512,6,2.411
2,512,8,2.451
2,512,9,2.404
2,512,10,2.35
2,512,11,2.377
2,512,12,2.404
2,512,15,2.398
2,512,20,2.409
2,640,1,4.555
2,640,2,3.219
2,640,3,2.924
2,640,4,2.627
2,640,5,2.54
2,640,6,2.458
2,640,8,2.428
2,640,9,2.465
2,640,10,2.361
2,640,11,2.395
2,640,12,2.387
2,640,15,2.388
2,640,20,2.424
2,768,1,4.711
2,768,2,3.216
2,768,3,2.925
2,768,4,2.773
2,768,5,2.673
2,768,6,2.62
2,768,8,2.571
2,768,9,2.49
2,768,10,2.441
2,768,11,2.489
2,768,12,2.535
2,768,15,2.511
2,768,20,2.502
2,896,1,4.795
2,896,2,3.401
2,896,3,2.988
2,896,4,2.858
2,896,5,2.861
2,896,6,2.688
2,896,8,2.617
2,896,9,2.708
2,896,10,2.579
2,896,11,2.722
2,896,12,2.75
2,896,15,2.742
2,896,20,2.689
2,1024,1,5.107
2,1024,2,3.432
2,1024,3,3.035
2,1024,4,2.725
2,1024,5,2.624
2,1024,6,2.609
2,1024,8,2.492
2,1024,9,2.52
2,1024,10,2.401
2,1024,11,2.416
2,1024,12,2.402
2,1024,15,2.39
2,1024,20,2.417
