repetition,pop_size,ensemble_size,s_sim_mean
0,128,1,2.941
0,128,2,1.97
0,128,3,1.646
0,128,4,1.502
0,128,5,1.553
0,128,6,1.477
0,128,8,1.51
0,128,9,1.54
0,128,10,1.489
0,128,11,1.438
0,128,12,1.475
0,128,15,1.477
0,128,20,1.525
0,256,1,3.642
0,256,2,2.28
0,256,3,1.779
0,256,4,1.557
0,256,5,1.478
0,256,6,1.497
0,256,8,1.461
0,256,9,1.463
0,256,10,1.424
0,256,11,1.448
0,256,12,1.449
0,256,15,1.457
0,256,20,1.483
0,384,1,4.42
0,384,2,3.586
0,384,3,1.97
0,384,4,1.656
0,384,5,1.598
0,384,6,1.534
0,384,8,1.508
0,384,9,1.538
0,384,10,1.456
0,384,11,1.446
0,384,12,1.476
0,384,15,1.464
0,384,20,1.508
0,512,1,5.313
0,512,2,3.072
0,512,3,2.349
0,512,4,2.001
0,512,5,1.729
0,512,6,1.636
0,512,8,1.57
0,512,9,1.549
0,512,10,1.462
0,512,11,1.508
0,512,12,1.52
0,512,15,1.503
0,512,20,1.509
0,640,1,6.043
0,640,2,3.404
0,640,3,2.54
0,640,4,2.071
0,640,5,1.817
0,640,6,1.688
0,640,8,1.586
0,640,9,1.574
0,640,10,1.547
0,640,11,1.602
0,640,12,1.603
0,640,15,1.573
0,640,20,1.556
0,768,1,7.657
0,768,2,4.213
0,768,3,3.055
0,768,4,2.489
0,768,5,2.164
0,768,6,1.998
0,768,8,1.785
0,768,9,1.678
0,768,10,1.592
0,768,11,1.775
0,768,12,1.739
0,768,15,1.731
0,768,20,1.741
0,896,1,8.435
0,896,2,4.574
0,896,3,3.315
0,896,4,2.74
0,896,5,2.318
0,896,6,2.093
0,896,8,1.876
0,896,9,1.775
0,896,10,1.661
0,896,11,1.858
0,896,12,1.855
0,896,15,1.863
0,896,20,1.864
0,1024,1,9.291
0,1024,2,5.013
0,1024,3,3.627
0,1024,4,2.991
0,1024,5,2.582
0,1024,6,2.207
0,1024,8,1.93
0,1024,9,1.866
